unique_id,lat,lng,r_code
AH000019-04,35.83883503,128.6838783,3
AH000019-05,35.83883503,128.6838783,3
AH000020-01,36.6067297,127.483609,11
AH000021-01,37.55738068,126.830002,1
AH000021-02,37.55738068,126.830002,1
AH000021-03,37.55738068,126.830002,1
AH000021-04,37.55738068,126.830002,1
AH000021-05,37.55738068,126.830002,1
AH000021-06,37.55738068,126.830002,1
AH000021-07,37.55738068,126.830002,1
AH000022-01,37.10161524,128.3606466,11
AH000023-01,37.16205693,127.0389774,9
AH000023-02,37.16205693,127.0389774,9
AH000024-01,35.95921601,128.5606156,3
AH000024-02,35.95921601,128.5606156,3
AH000024-03,35.95921601,128.5606156,3
AH000024-04,35.95921601,128.5606156,3
AH000025-01,35.957618,126.938495,13
AH000025-02,35.957618,126.938495,13
AH000025-03,35.957618,126.938495,13
AH000026-01,37.58899299,126.85865306,9
AH000026-02,37.58899299,126.85865306,9
AH000026-03,37.58899299,126.85865306,9
AH000026-04,37.58899299,126.85865306,9
AH000026-05,37.58899299,126.85865306,9
AH000026-06,37.58899299,126.85865306,9
AH000027-01,37.5930132,127.2275167,9
AH000027-02,37.5930132,127.2275167,9
AH000027-03,37.5930132,127.2275167,9
AH000027-04,37.5930132,127.2275167,9
AH000027-05,37.5930132,127.2275167,9
AH000027-06,37.5930132,127.2275167,9
AH000027-07,37.5930132,127.2275167,9
AH000027-08,37.5930132,127.2275167,9
AH000028-01,37.23946733,127.3132006,9
AH000028-02,37.23946733,127.3132006,9
AH000029-01,35.94693371,126.9588026,13
AH000030-01,37.5009687,127.509778,9
AH000030-02,37.5009687,127.509778,9
AH000030-03,37.5009687,127.509778,9
AH000031-01,37.7589334,126.7748578,9
AH000031-02,37.7589334,126.7748578,9
AH000032-01,37.269652,127.065147,9
AH000032-02,37.269652,127.065147,9
AH000032-03,37.269652,127.065147,9
AH000033-01,37.25229904,127.0321624,9
AH000034-01,37.29800473,126.8343938,9
AH000034-02,37.29800473,126.8343938,9
AH000034-03,37.29800473,126.8343938,9
AH000034-04,37.29800473,126.8343938,9
AH000034-05,37.29800473,126.8343938,9
AH000035-01,37.92797615,127.0541894,9
AH000035-02,37.92797615,127.0541894,9
AH000035-03,37.92797615,127.0541894,9
AH000037-01,37.60971767,126.8906457,9
AH000037-02,37.60971767,126.8906457,9
AH000037-03,37.60971767,126.8906457,9
AH000037-04,37.60971767,126.8906457,9
AH000037-05,37.60971767,126.8906457,9
AH000037-06,37.60971767,126.8906457,9
AH000037-07,37.60971767,126.8906457,9
AH000037-08,37.60971767,126.8906457,9
AH000037-09,37.60971767,126.8906457,9
AH000037-10,37.60971767,126.8906457,9
AH000037-11,37.60971767,126.8906457,9
AH000037-12,37.60971767,126.8906457,9
AH000037-13,37.60971767,126.8906457,9
AH000037-14,37.60971767,126.8906457,9
AH000037-15,37.60971767,126.8906457,9
AH000038-01,34.64172514,126.7673258,14
AH000038-02,34.64172514,126.7673258,14
AH000039-01,37.66871612,127.0471314,1
AH000039-02,37.66871612,127.0471314,1
AH000040-01,37.49717207,126.9861774,1
AH000040-02,37.49717207,126.9861774,1
AH000040-03,37.49717207,126.9861774,1
AH000041-01,37.72890347,127.1038235,9
AH000041-02,37.72890347,127.1038235,9
AH000042-01,36.04152253,126.99704693,13
AH000043-01,37.532284,126.6420995,4
AH000043-02,37.532284,126.6420995,4
AH000044-01,36.80762134,127.15177432,12
AH000044-02,36.80762134,127.15177432,12
AH000045-01,37.10386174,129.02201177,10
AH000045-02,37.10386174,129.02201177,10
AH000046-01,37.05502297,127.0610959,9
AH000046-02,37.05502297,127.0610959,9
AH000046-03,37.05502297,127.0610959,9
AH000046-04,37.05502297,127.0610959,9
AH000046-06,37.05502297,127.0610959,9
